"","network_code","network_name","park_code","park_name","site_name","station_code","station_name","event_date_UTC","reader_name","marker_horizon_name","core_measurement_number","core_measurement_depth_mm","core_type","core_condition","core_event_notes","core_notes","established_date","retired_date","validation_status","validation_date","validation_name","dpl"
"77","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2016-03-30,"Lynch, James - NCBN","B",1,39,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"78","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2016-03-30,"Lynch, James - NCBN","B",2,36,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"79","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2016-03-30,"Lynch, James - NCBN","B",3,45,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"80","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-3","M11-3",2015-12-01,"Lynch, James - NCBN","A",1,25,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"81","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-3","M11-3",2015-12-01,"Lynch, James - NCBN","A",2,28,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"82","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-3","M11-3",2015-12-01,"Lynch, James - NCBN","B",1,42,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"83","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-3","M11-3",2015-12-01,"Lynch, James - NCBN","C",1,28,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"84","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-12-01,"Lynch, James - NCBN","B",1,30,"Plug","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"85","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-12-01,"Lynch, James - NCBN","A",1,30,"Plug","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"86","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-12-01,"Lynch, James - NCBN","A",2,30,"Plug","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"87","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",2015-12-01,"Lynch, James - NCBN","C",1,30,"Plug","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
